name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
광장로,38,540,1,1,1,7,1,1,,,,,,,,,
낙동대로,35,6846,1,1,1,7,1,1,,,,,,,,,
낙동남로(1),50,3094,1,1,1,8,1,1,,,,,,,,,
공항로(1),40,406,1,1,1,9,1,0,,,,,,,,,
르노삼성대로(1),43,3300,1,1,1,10,1,1,,,,,,,,,
명지오션시티1로,25,500,1,1,1,4,1,0,,,,,,,,,
명지오션시티11로,20,1100,1,1,1,4,1,0,,,,,,,,,
명지오션시티2로,18,520,1,1,1,4,1,0,,,,,,,,,
르노삼성대로(2),43,4600,1,1,1,10,1,1,,,,,,,,,
공항로(2),40,115,1,1,1,9,1,0,,,,,,,,,
낙동남로(2),6,200,1,0,0,1,0,0,,,,,,,,,
낙동남로(3),36,5000,1,1,1,8,1,1,,,,,,,,,
화전산업대로,42,2110,1,1,1,8,1,0,,,,,,,,,
화전산단1로,12,386,1,1,0,2,1,0,,,,,,,,,
화전산단6로,26,1300,1,1,0,4,1,0,,,,,,,,,
화전산단3로,20,433,1,1,0,4,1,0,,,,,,,,,
화전산단5로,30,1100,1,1,0,6,1,0,,,,,,,,,
화전산단1로,13,725,1,1,0,2,1,0,,,,,,,,,
