name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
석대천로,5,1948.1,1,1,1,5,1,0,,,,,,,,,
반송로,5,7837.7,1,1,1,6,0,0,,,,,,,,,
배산로8번길,9,244.3,1,1,0,2,1,0,,,,,,,,,
배산로56번길,4,176.3,1,1,0,2,1,0,,,,,,,,,
반송로,5,758,1,1,1,6,0,0,,,,,,,,,
차성동로,7,890.7,1,1,1,2,1,1,,,,,,,,,
차성로288번길,7,70.2,1,1,0,2,1,0,,,,,,,,,
차성남로89번길,5,221.3,1,1,0,2,1,0,,,,,,,,,
차성남로,4,213.9,1,1,1,4,1,0,,,,,,,,,
기장대로,5,10325,1,1,1,6,1,1,,,,,,,,,
의과학로,5,693.9,1,1,1,7,1,0,,,,,,,,,
장안산단7로,5,1600,1,1,0,4,1,0,,,,,,,,,
장안산단2로,5,99.1,1,1,0,4,1,0,,,,,,,,,
장안산단4로,8,64.8,1,1,0,2,1,0,,,,,,,,,
장안산단1로,7,336.7,1,1,0,2,1,0,,,,,,,,,
장안산단2로,5,101.6,1,1,0,4,1,0,,,,,,,,,
장안산단7로,5,597,1,1,0,4,1,0,,,,,,,,,
장안산단9로,7,1383.2,1,1,0,2,1,0,,,,,,,,,
장안산단로,6,874,1,1,1,4,1,0,,,,,,,,,
장안산단8로,7.5,1500,1,1,0,2,0,0,,,,,,,,,
