name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
한신아파트 - 차성로436번길,11.8,430,1,1,0,2,1,1,,,,,,,,,
한신아파트 - 차성동로126번길,10.9,240,1,1,0,2,1,0,,,,,,,,,
청진동해장국 - 차성동로126번길,10.9,140,1,1,0,2,1,0,,,,,,,,,
청진동해장국 - 반송로,35.4,90,1,1,1,6,1,0,,,,,,,,,
이진테마빌 - 반송로,26.1,730,1,1,1,4,1,0,,,,,,,,,
안평역 - 반송로,22.3,4400,1,1,1,5,1,0,,,,,,,,,
고촌역 - 반송로,34.8,1100,1,1,1,6,1,0,,,,,,,,,
동부산대역 - 반송로,32.4,750,1,1,1,6,1,0,,,,,,,,,
영산대역 - 반송로,31.6,1100,1,1,1,6,1,0,,,,,,,,,
석대역 - 반송로,34.8,1300,1,1,0,7,1,0,,,,,,,,,
반영농산물시장역 - 반송로,24.9,1300,1,1,1,5,1,0,,,,,,,,,
기업은행입구 - 반송로,29.9,480,1,1,1,6,1,1,,,,,,,,,
기업은행입구 - 번영로,22.3,2320,1,1,1,4,1,1,,,,,,,,,
기업은행입구 - 정관산업로,27.4,11250,1,1,1,4,1,1,,,,,,,,,
기업은행입구 - 산단로,28.3,330,1,1,0,6,1,0,,,,,,,,,
유성산업 - 산단로,28.3,400,1,1,0,6,1,0,,,,,,,,,
삼성간건사 입구 - 산단로,28.3,350,1,1,0,6,1,0,,,,,,,,,
대한화성 - 산단로,28.3,1500,1,1,0,6,1,0,,,,,,,,,
위니코니㈜ - 산단로,28.3,560,1,1,0,6,1,0,,,,,,,,,
농공단지 입구 - 산단8로,19.5,400,1,1,0,4,1,0,,,,,,,,,
농공단지 입구 - 정관로,18.7,1600,1,1,0,4,1,0,,,,,,,,,
