name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
광장로,38,540,1,1,1,7,1,1,,,,,,,,,
낙동대로,35,6846,1,1,1,7,1,1,,,,,,,,,
낙동남로(1),50,3094,1,1,1,8,1,1,,,,,,,,,
공항로(1),40,406,1,1,1,9,1,0,,,,,,,,,
르노삼성대로,43,7000,1,1,1,10,1,1,,,,,,,,,
신호산단1로,25,2454,1,1,0,4,1,0,,,,,,,,,
르노삼성대로,43,200,1,1,0,8,1,0,,,,,,,,,
화전산업대로,18,386,1,1,1,3,1,1,,,,,,,,,
화전산업대로,44,2700,1,1,0,8,1,0,,,,,,,,,
낙동남로,30,1400,1,1,1,6,1,0,,,,,,,,,
생곡로,35,3400,1,1,0,8,1,0,,,,,,,,,
가리새1로,21,515,1,1,0,4,1,0,,,,,,,,,
범방2로,16,370,1,1,0,4,1,0,,,,,,,,,
범방3로,16,523,1,1,0,4,1,0,,,,,,,,,
범방1로,24,209,1,1,0,8,1,0,,,,,,,,,
가락대로,42,533,1,1,1,8,1,0,,,,,,,,,
미음국제3로,16,1200,1,1,0,4,1,0,,,,,,,,,
미음국제6로,16,1300,1,1,1,4,1,0,,,,,,,,,
미음국제5로,12,167,1,1,1,3,1,0,,,,,,,,,
