name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
낙동남로,50,560,1,1,1,9,1,1,,,,,,,,,
강변대로(1),7,176,1,0,0,1,0,0,,,,,,,,,
강변대로(2),40,4300,1,1,0,8,1,0,,,,,,,,,
장인로,20,1000,1,1,0,4,1,0,,,,,,,,,
학장로,24,560,1,1,1,5,1,0,,,,,,,,,
대동로,16,440,1,0,0,2,1,0,,,,,,,,,
학감대로163번길,9,325,1,0,0,2,,0,,,,,,,,,
학감대로,40,190,1,1,0,8,1,0,,,,,,,,,
학장로,24,2029,1,1,1,5,1,0,,,,,,,,,
낙동대로,35,400,1,1,0,7,1,1,,,,,,,,,
강변대로532번길,20,566,1,1,1,4,1,0,,,,,,,,,
강변대로,40,2900,1,1,0,8,1,0,,,,,,,,,
낙동남로,38,6000,1,1,1,8,1,1,,,,,,,,,
생곡로(1),30,2400,1,1,1,6,1,0,,,,,,,,,
생곡로(2),43,470,1,1,0,9,1,0,,,,,,,,,
가리새2로,22,133,1,1,1,5,1,0,,,,,,,,,
가리새2로13번길,18,445,1,1,0,4,1,0,,,,,,,,,
가리새1로,18,167,1,1,0,4,1,0,,,,,,,,,
생곡로,42,600,1,1,1,8,1,0,,,,,,,,,
가락대로,38,1200,1,1,1,8,1,0,,,,,,,,,
미음국제8로,8.5,865,1,1,0,2,1,0,,,,,,,,,
미음국제8로가길,8,525,1,1,1,2,1,0,,,,,,,,,
가달1로(1),16,460,1,1,0,4,1,0,,,,,,,,,
가달1로(2),13,235,1,1,0,2,1,0,,,,,,,,,
생곡로,15,393,1,1,0,3,1,0,,,,,,,,,
