name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
낙동남로,4.75,4200,1,1,1,8,1,1,,,,,,,,,
명지국제4로,5.428571429,969.5,1,1,1,7,1,0,,,,,,,,,
명지국제5로,6,269.8,1,1,0,3,0,0,,,,,,,,,
명지국제13로,5.3,275.2,1,1,0,5,1,0,,,,,,,,,
영강길,6.666666667,429.6,1,1,0,3,1,0,,,,,,,,,
낙동남로,4.75,2800,1,1,1,8,1,1,,,,,,,,,
생곡로,4.555555556,3913,1,1,1,9,1,0,,,,,,,,,
가락대로,6.0375,2300,1,1,1,8,1,1,,,,,,,,,
미음산단1로,4.416666667,137,1,1,0,6,1,0,,,,,,,,,
미음산단1로16번길,5,29,1,1,0,4,1,0,,,,,,,,,
미음산단1로 15번길,5,1190,1,1,0,4,1,0,,,,,,,,,
미음산단1로,5.45,593.1,1,1,0,4,1,0,,,,,,,,,
가락대로,5.2125,527.8,1,1,1,8,1,0,,,,,,,,,
미음산단2로,5.15,294.2,1,1,0,4,1,0,,,,,,,,,
미음산단2로24번길,7.8,373.4,1,1,0,2,1,0,,,,,,,,,
미음산단로37번길,5.9,267.5,1,1,0,2,1,0,,,,,,,,,
미음산단로,5.233333333,143.9,1,1,1,6,1,0,,,,,,,,,
미음산단2로24번길,7.8,90,1,1,0,2,1,0,,,,,,,,,
미음산단로37번길,5.9,121.3,1,1,0,2,1,0,,,,,,,,,
미음산단로34번길,7.45,500,1,1,0,2,1,0,,,,,,,,,
미음산단로,5.233333333,725,1,1,1,6,1,0,,,,,,,,,
미음산단로8번길,4.45,646.8,1,1,0,4,1,0,,,,,,,,,
미음산단로76번길,7.15,454.2,1,1,0,2,1,0,,,,,,,,,
미음산단로,5.233333333,2551,1,1,1,6,1,1,,,,,,,,,
미음산단4로,4.283333333,182,1,1,0,6,1,0,,,,,,,,,
미음산단3로,5.25,300,1,1,0,4,1,0,,,,,,,,,
미음산단로 377번길,5,165.2,1,1,0,4,1,0,,,,,,,,,
미음산단5로,5.075,221,1,1,0,4,1,0,,,,,,,,,
미음산단4로,4.283333333,288.9,1,1,0,6,1,0,,,,,,,,,
미음산단6로,7,193,1,1,0,1,1,0,,,,,,,,,
미음산단로,5.233333333,289.5,1,1,1,6,1,1,,,,,,,,,
미음산단4로,4.283333333,426,1,1,0,6,1,0,,,,,,,,,
미음산단6로,7,193.4,1,1,0,1,1,0,,,,,,,,,
미음산단로,5.233333333,4005,1,1,1,6,1,1,,,,,,,,,
가락대로,6.0375,786,1,1,1,8,1,1,,,,,,,,,
과학산단로,5.714285714,456,1,1,1,7,1,1,,,,,,,,,
미음산단로,5.233333333,2100,1,1,1,6,1,1,,,,,,,,,
미음산단4로,4.283333333,169,1,1,0,6,1,0,,,,,,,,,
미음산단3로,5.25,1008,1,1,0,4,1,0,,,,,,,,,
