name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
낙동남로,4.75,4200,1,1,1,8,1,1,,,,,,,,,
명지국제4로,5,969.5,1,1,1,7,1,0,,,,,,,,,
명지국제5로,6,269.8,1,1,0,3,0,0,,,,,,,,,
명지국제13로,5,275.2,1,1,0,5,1,0,,,,,,,,,
영강길,7,429.6,1,1,0,3,1,0,,,,,,,,,
낙동남로,4,2800,1,1,1,8,1,1,,,,,,,,,
생곡로,5,3913,1,1,1,9,1,0,,,,,,,,,
남해안대로,5,1200,1,1,1,8,1,1,,,,,,,,,
미음산단로,5,1000,1,1,1,6,1,1,,,,,,,,,
미음산단4로,4,174.4,1,1,0,6,1,0,,,,,,,,,
미음산단3로,5,381,1,1,0,4,1,0,,,,,,,,,
미음산단로 295번길,5,51.7,1,1,0,4,1,0,,,,,,,,,
미음산단로,5,391.5,1,1,1,6,1,1,,,,,,,,,
미음산단4로,4,222,1,1,0,6,1,0,,,,,,,,,
미음산단3로,5,300,1,1,0,4,1,0,,,,,,,,,
미음산단로 377번길,5,165.2,1,1,0,4,1,0,,,,,,,,,
미음산단5로,5,221,1,1,0,4,1,0,,,,,,,,,
미음산단4로,4,288.9,1,1,0,6,1,0,,,,,,,,,
미음산단6로,7,193,1,1,0,1,1,0,,,,,,,,,
미음산단로,5,289.5,1,1,1,6,1,1,,,,,,,,,
미음산단4로,4,426,1,1,0,6,1,0,,,,,,,,,
미음산단6로,7,193.4,1,1,0,1,1,0,,,,,,,,,
미음산단로,5,4005,1,1,1,6,1,1,,,,,,,,,
가락대로,6,786,1,1,1,8,1,1,,,,,,,,,
과학산단로,5,456,1,1,1,7,1,1,,,,,,,,,
미음산단로,5,2100,1,1,1,6,1,1,,,,,,,,,
미음산단4로,4,169,1,1,0,6,1,0,,,,,,,,,
미음산단3로,5,1008,1,1,0,4,1,0,,,,,,,,,
미음산단로,5,1100,1,1,1,6,1,1,,,,,,,,,
미음산단로 139번길,5,456.4,1,1,0,4,1,0,,,,,,,,,
미음산단로 199번길,5,375.9,1,1,0,4,1,0,,,,,,,,,
미음산단로,5,719.8,1,1,1,6,1,1,,,,,,,,,
미음산단로 127번길,6,240.4,1,1,0,2,1,0,,,,,,,,,
미음산단로 139번길,5,125.9,1,1,0,4,1,0,,,,,,,,,
미음산단로,5,342.5,1,1,1,6,1,1,,,,,,,,,
미음산단로8번길,4,636.6,1,1,0,4,1,0,,,,,,,,,
미음산단로 76번길,7,303.8,1,1,0,2,1,0,,,,,,,,,
미음산단로34번길,7,500,1,1,0,2,1,0,,,,,,,,,
미음산단로37번길,5,121.3,1,1,0,2,1,0,,,,,,,,,
미음산단2로24번길,7,90,1,1,0,2,1,0,,,,,,,,,
미음산단로,5,143.9,1,1,1,6,1,0,,,,,,,,,
미음산단로37번길,5,267.5,1,1,0,2,1,0,,,,,,,,,
미음산단2로24번길,7,373.4,1,1,0,2,1,0,,,,,,,,,
미음산단2로,5,294.2,1,1,0,4,1,0,,,,,,,,,
가락대로,4,527.8,1,1,1,8,1,0,,,,,,,,,
미음산단1로,5,593.1,1,1,0,4,1,0,,,,,,,,,
미음산단1로 15번길,5,1190,1,1,0,4,1,0,,,,,,,,,
미음산단1로16번길,5,29,1,1,0,4,1,0,,,,,,,,,
