name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
"다대낙조1길, 다대로",24.2,1200,1,1,0,4,1,0,,,,,,,,,
다대로,26.5,1000,1,1,0,4,1,1,,,,,,,,,
,13,709,1,1,0,2,1,0,,,,,,,,,
,15.8,1500,1,1,0,4,1,0,,,,,,,,,
,29.6,1200,1,1,0,4,1,0,,,,,,,,,
,26.5,1700,1,1,0,4,1,0,,,,,,,,,
,34.5,9800,1,1,1,8,1,1,,,,,,,,,
녹산산업대로,34.4,3300,1,1,1,6,1,0,,,,,,,,,
,33.5,334.8,1,1,1,6,1,0,,,,,,,,,
,33.5,857.1,1,1,1,6,1,0,,,,,,,,,
녹산산업북로,27.1,342.1,1,1,0,4,1,0,,,,,,,,,
녹산산업중로,22.8,1163.5,1,1,0,4,1,0,,,,,,,,,
,22.1,1000,1,1,0,4,1,1,,,,,,,,,
가락대로,34.2,1900,1,1,1,7,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
