name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
"다대낙조1길, 다대로",24.2,1200,1,1,0,4,1,0,,,,,,,,,
다대로,26.5,1000,1,1,0,4,1,1,,,,,,,,,
,13,709,1,1,0,2,1,0,,,,,,,,,
,15.8,1500,1,1,0,4,1,0,,,,,,,,,
,29.6,1200,1,1,0,4,1,0,,,,,,,,,
,26.5,1700,1,1,0,4,1,0,,,,,,,,,
,34.5,9800,1,1,1,8,1,1,,,,,,,,,
녹산산업대로,34.1,312.7,1,1,1,6,1,0,,,,,,,,,
녹산산단로,26.7,487.8,1,1,0,4,1,0,,,,,,,,,
녹산산업중로,25.6,595.2,0,0,0,4,1,0,,,,,,,,,
녹산산단381로,22.8,499.7,1,1,0,4,1,0,,,,,,,,,
녹산산업북로,28.6,910,1,1,0,4,1,0,,,,,,,,,
녹산산단289로,19,264.8,1,1,0,2,1,0,,,,,,,,,
녹산산단261로,19,290.9,1,1,0,4,1,0,,,,,,,,,
,22.7,253.4,1,1,0,4,1,0,,,,,,,,,
녹산산업중로,21.9,1100,1,1,0,4,1,1,,,,,,,,,
,22.2,503.8,1,1,0,4,1,0,,,,,,,,,
녹산산업북로,27.1,342.1,1,1,0,4,1,0,,,,,,,,,
,33.5,1191.9,1,1,1,7,1,0,,,,,,,,,
가락대로,34.2,351.6,1,1,1,7,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
