name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
낙동대로,25.3,1000,1,1,1,8,1,0,,,,,,,,,
"낙동대로,낙동북로",26.1,1900,1,1,1,6,1,0,,,,,,,,,
"낙동대로, 체육공원로, 공항로, 르노 삼성대로",13.5,13200,1,1,1,8,1,0,,,,,,,,,
르노삼성대로,34.8,5800,1,1,1,8,1,0,,,,,,,,,
녹산산업대로,34.4,3300,1,1,1,6,1,0,,,,,,,,,
,33.5,334.8,1,1,1,6,1,0,,,,,,,,,
,33.5,857.1,1,1,1,6,1,0,,,,,,,,,
녹산산업북로,27.1,342.1,1,1,0,4,1,0,,,,,,,,,
녹산산업중로,22.8,1163.5,1,1,0,4,1,0,,,,,,,,,
,22.1,1000,1,1,0,4,1,1,,,,,,,,,
가락대로,34.2,1900,1,1,1,7,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
