name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
광장로,35,255,1,1,1,7,1,1,,,,,,,,,
낙동대로,19.2,1700,1,1,1,7,1,0,,,,,,,,,
낙동대로,28.9,2900,1,1,1,7,1,0,,,,,,,,,
,31.5,5500,1,1,1,8,1,0,,,,,,,,,
르노삼성대로,34.8,5800,1,1,1,8,1,0,,,,,,,,,
녹산산업대로,34.1,312.7,1,1,1,6,1,0,,,,,,,,,
녹산산단로,26.7,487.8,1,1,0,4,1,0,,,,,,,,,
녹산산업중로,25.6,595.2,0,0,0,4,1,0,,,,,,,,,
녹산산단381로,22.8,499.7,1,1,0,4,1,0,,,,,,,,,
녹산산업북로,28.6,910,1,1,0,4,1,0,,,,,,,,,
녹산산단289로,19,264.8,1,1,0,2,1,0,,,,,,,,,
녹산산단261로,19,290.9,1,1,0,4,1,0,,,,,,,,,
,22.7,253.4,1,1,0,4,1,0,,,,,,,,,
녹산산업중로,21.9,1100,1,1,0,4,1,1,,,,,,,,,
,22.2,503.8,1,1,0,4,1,0,,,,,,,,,
녹산산업북로,27.1,342.1,1,1,0,4,1,0,,,,,,,,,
,33.5,1191.9,1,1,1,7,1,0,,,,,,,,,
가락대로,34.2,351.6,1,1,1,7,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
