name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
좌천로,5.5,73,1,1,0,2,1,0,,,,,,,,,
해맞이로,2.28,172.4,1,1,0,5,1,0,,,,,,,,,
좌해로,2.5,583.1,1,1,0,4,1,0,,,,,,,,,
좌천로,2.525,175.5,1,1,0,4,1,0,,,,,,,,,
기장대로,4.59,5855,1,1,1,7,1,0,,,,,,,,,
오리산단로,5.68,1100,1,1,0,4,1,0,,,,,,,,,
오리산단2로,7.65,343,1,1,0,2,1,0,,,,,,,,,
오리산단4로,7.95,152,1,1,0,2,1,0,,,,,,,,,
오리산단로,5.675,379.5,1,1,0,4,1,0,,,,,,,,,
오리산단3로,7.15,370.6,1,1,0,2,1,0,,,,,,,,,
오리산단2로,7.65,343,1,1,0,2,1,0,,,,,,,,,
오리산단로,5.675,1100,1,1,0,4,1,0,,,,,,,,,
오리산단7로,7.15,294.7,1,1,0,2,1,0,,,,,,,,,
오리산단3로,0.075,608.2,1,1,0,1,1,0,,,,,,,,,
