name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
명지신마트앞 - 낙동남로,37.7,3800,1,1,1,8,1,1,,,,,,,,,
국제물류㈜앤써 - 낙동남로,34.9,2900,1,1,1,8,1,1,,,,,,,,,
국제물류㈜앤써 - 생곡로,30,2800,1,1,1,6,1,0,,,,,,,,,
㈜신안 - 생곡로,40.7,360,1,1,1,8,1,0,,,,,,,,,
한국매틱스㈜ - 생곡로,42.8,330,1,1,1,10,1,0,,,,,,,,,
한국매틱스㈜ - 남해안대로,40.8,1500,1,1,1,8,0,1,,,,,,,,,
한국매틱스㈜ - 미음산단로,33.1,300,1,1,1,8,1,0,,,,,,,,,
우리은행- 미음산단로,32.7,550,1,1,1,7,1,0,,,,,,,,,
외환은행 - 미음산단로,36.2,130,1,1,1,8,1,0,,,,,,,,,
동아엠텍㈜ - 과학산단로,34.8,2600,1,1,1,6,1,0,,,,,,,,,
이원솔루텍 - 과학산단로,32.5,540,1,1,0,7,1,0,,,,,,,,,
이원솔루텍 - 과학산단2로3번길,12.7,130,1,1,0,2,1,0,,,,,,,,,
자동차부품멀티관 - 과학산단2로3번길,11.6,430,1,1,0,2,1,0,,,,,,,,,
이엔케이 정문 - 과학산단로,24.9,1100,1,1,0,6,1,0,,,,,,,,,
㈜피에스지- 과학산단로,25.3,300,1,1,0,6,1,0,,,,,,,,,
쌍용 - 과학산단2로19번길,14.6,320,1,1,0,2,1,0,,,,,,,,,
승진(큰건널목) - 과학산단2로19번길,14.5,180,1,1,0,2,1,0,,,,,,,,,
남성테크 - 과학산단2로19번길,14.2,80,1,1,0,2,1,0,,,,,,,,,
성신 - 과학산단2로19번길,14.5,50,1,1,0,2,1,0,,,,,,,,,
부원기계 - 과학산단2로19번길,14.8,840,1,1,0,2,1,0,,,,,,,,,
대신전기㈜ - 과학산단2로19번길,14.8,220,1,0,0,2,1,0,,,,,,,,,
테크노파크 - 과학산단2로19번길,16.1,320,1,1,0,2,1,0,,,,,,,,,
테크노파크 - 과학산단2로,20,220,1,1,0,4,1,0,,,,,,,,,
테크노파크 - 과학산단1로,20,570,1,1,0,4,1,0,,,,,,,,,
신신중공업,19.6,1000,1,1,0,4,1,0,,,,,,,,,
