name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
송정입구 버스정류장 - 해운대로,29.8,2800,1,1,0,6,1,1,,,,,,,,,
내리휴먼시아 건너편 - 해운대로,31.7,1700,1,1,0,7,1,0,,,,,,,,,
내리휴먼시아 건너편 - 기장대로,31.7,900,1,1,1,8,1,0,,,,,,,,,
청강시내버스차고지 - 기장대로,30,2100,1,1,1,7,1,0,,,,,,,,,
청강사거리 - 기장대로,29.3,1400,1,1,1,6,1,0,,,,,,,,,
기장시장 - 대청로,18.6,500,1,1,0,4,1,1,,,,,,,,,
기장시장 - 차성로,19.5,600,1,1,0,4,1,0,,,,,,,,,
교리사거리 물좋은 온천 앞 - 차성로,19.6,1500,1,1,1,4,1,0,,,,,,,,,
일광역 앞 - 차성로,23.8,500,1,1,1,5,1,1,,,,,,,,,
일광역 앞 - 해빛1로,18.7,1000,1,1,1,5,1,0,,,,,,,,,
일광역 앞 - 해빛로,23.2,250,1,1,1,6,1,0,,,,,,,,,
일광역 앞 - 해송로,18.1,460,1,1,1,4,1,0,,,,,,,,,
일광역 앞 - 이화로,22.6,450,1,1,1,4,1,0,,,,,,,,,
원자력 의학원 - 이화로,9,560,1,1,0,2,1,0,,,,,,,,,
원자력 의학원 - 기장대로,28.2,5800,1,1,1,6,1,0,,,,,,,,,
광성계측기 - 기장대로,29.5,600,1,1,1,5,1,0,,,,,,,,,
광성계측기 - 교차로,6.1,300,1,1,0,1,0,0,,,,,,,,,
광성계측기 - 의과학로,34.6,700,1,1,1,7,1,0,,,,,,,,,
진흥원 동부지소 - 장안산단6로,30.8,600,1,1,0,5,1,0,,,,,,,,,
진흥원 동부지소 - 장안산단로,24.7,200,1,1,1,4,1,0,,,,,,,,,
신성전기㈜ - 장안산단로,25.6,600,1,1,1,4,1,0,,,,,,,,,
동연스틸㈜ - 장안산단로,25.6,280,1,1,1,4,1,1,,,,,,,,,
동연스틸㈜ - 반룡로,23.9,1420,1,1,1,4,1,0,,,,,,,,,
동연스틸㈜ - 기장대로,35.8,1500,1,1,1,4,1,0,,,,,,,,,
㈜베이비또 - 기장대로,36,170,1,1,1,6,1,0,,,,,,,,,
㈜베이비또 - 명례산단로,41.3,600,1,1,1,8,1,0,,,,,,,,,
강림인슈㈜ - 명례산단4로,16.1,400,1,1,0,2,1,0,,,,,,,,,
㈜현대피팅 - 명례산단4로,15.2,120,1,1,0,2,1,0,,,,,,,,,
㈜현대피팅 - 명례산단6로,15.4,550,1,1,0,2,1,0,,,,,,,,,
㈜현대피팅 - 명례산단5로,15.3,320,1,1,0,2,1,0,,,,,,,,,
㈜승림특수금속 - 명례산단6로,15.3,100,1,1,0,2,1,0,,,,,,,,,
㈜승림특수금속 - 명례산단5로,15.3,500,1,1,0,2,1,0,,,,,,,,,
㈜승림특수금속 - 명례산단4로,16,200,1,1,0,2,1,0,,,,,,,,,
㈜승림특수금속 - 명례산단로,41,600,1,1,1,8,1,0,,,,,,,,,
